gene_symbol	gene_entrez	gene_description
AK5	26289	adenylate kinase 5
ANK2	287	ankyrin 2, neuronal
ANK3	288	ankyrin 3, node of Ranvier (ankyrin G)
AP3B2	8120	adaptor-related protein complex 3, beta 2 subunit
APLP1	333	amyloid beta (A4) precursor-like protein 1
APOD	347	apolipoprotein D
AQP4	361	aquaporin 4
ARF3	377	ADP-ribosylation factor 3
ATP1B2	482	ATPase, Na+/K+ transporting, beta 2 polypeptide
ATP2B3	492	ATPase, Ca++ transporting, plasma membrane 3
AVP	551	arginine vasopressin
BAI3	577	brain-specific angiogenesis inhibitor 3
BAIAP3	8938	BAI1-associated protein 3
BCAS1	8537	breast carcinoma amplified sequence 1
BRSK1	84446	BR serine/threonine kinase 1
BSN	8927	bassoon presynaptic cytomatrix protein
CABP1	9478	calcium binding protein 1
CACNA1B	774	calcium channel, voltage-dependent, N type, alpha 1B subunit
CADM3	57863	cell adhesion molecule 3
CALM1	801	calmodulin 1 (phosphorylase kinase, delta)
CALM3	808	calmodulin 3 (phosphorylase kinase, delta)
CAMK2A	815	calcium/calmodulin-dependent protein kinase II alpha
CBLN1	869	cerebellin 1 precursor
CBLN2	147381	cerebellin 2 precursor
CDR1	1038	cerebellar degeneration-related protein 1, 34kDa
CERCAM	51148	cerebral endothelial cell adhesion molecule
CHL1	10752	cell adhesion molecule with homology to L1CAM (close homolog of L1)
CHN1	1123	chimerin 1
CLSTN1	22883	calsyntenin 1
CLSTN3	9746	calsyntenin 3
CNDP1	84735	carnosine dipeptidase 1 (metallopeptidase M20 family)
CNP	1267	2',3'-cyclic nucleotide 3' phosphodiesterase
CNTF	1270	ciliary neurotrophic factor
CNTN1	1272	contactin 1
CNTN2	6900	contactin 2 (axonal)
CPNE9	151835	copine family member IX
CRMP1	1400	collapsin response mediator protein 1
CRTAM	56253	cytotoxic and regulatory T cell molecule
CTNNA2	1496	catenin (cadherin-associated protein), alpha 2
CTNND2	1501	catenin (cadherin-associated protein), delta 2
DAAM2	23500	dishevelled associated activator of morphogenesis 2
DCLK1	9201	doublecortin-like kinase 1
DCX	1641	doublecortin
DDN	23109	dendrin
DOCK3	1795	dedicator of cytokinesis 3
DPP10	57628	dipeptidyl-peptidase 10 (non-functional)
DPYSL2	1808	dihydropyrimidinase-like 2
DRP2	1821	dystrophin related protein 2
EFNB3	1949	ephrin-B3
ELAVL3	1995	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 3 (Hu antigen C)
ELAVL4	1996	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4
ENC1	8507	ectodermal-neural cortex 1 (with BTB-like domain)
ENO2	2026	enolase 2 (gamma, neuronal)
EPHA5	2044	EPH receptor A5
FABP7	2173	fatty acid binding protein 7, brain
FAIM2	23017	Fas apoptotic inhibitory molecule 2
